Channel              :,CH2
Frequency            :,  ?
Period               :,  ?
PK-PK                :,82.00mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,20.00000us

index,CH2_Voltage(mV)
736,176.000000
737,192.000000
738,204.000000
739,208.000000
740,176.000000
741,176.000000
742,212.000000
743,152.000000
744,180.000000
745,188.000000
746,204.000000
747,196.000000
748,204.000000
749,192.000000
750,168.000000
751,220.000000
752,196.000000
753,196.000000
754,208.000000
755,232.000000
756,200.000000
757,200.000000
758,184.000000
759,224.000000
760,204.000000
761,204.000000
762,192.000000
763,196.000000
764,188.000000
765,216.000000
766,200.000000
767,204.000000
768,188.000000
769,212.000000
770,196.000000
771,204.000000
772,220.000000
773,216.000000
774,244.000000
775,188.000000
776,224.000000
777,196.000000
778,176.000000
779,212.000000
780,224.000000
781,188.000000
782,220.000000
783,212.000000
784,208.000000
785,204.000000
786,168.000000
787,204.000000
788,192.000000
789,216.000000
790,204.000000
791,216.000000
792,184.000000
793,180.000000
794,192.000000
795,236.000000
796,200.000000
797,236.000000
798,216.000000
799,216.000000
800,212.000000
801,132.000000
802,204.000000
803,156.000000
804,224.000000
805,204.000000
806,164.000000
807,192.000000
808,204.000000
809,220.000000
810,248.000000
811,216.000000
812,196.000000
813,208.000000
814,228.000000
815,220.000000
816,236.000000
817,204.000000
818,220.000000
819,196.000000
820,192.000000
821,196.000000
822,192.000000
823,192.000000
824,188.000000
825,176.000000
826,208.000000
827,208.000000
828,200.000000
829,196.000000
830,224.000000
831,204.000000
832,164.000000
833,192.000000
834,196.000000
835,228.000000
836,184.000000
837,212.000000
838,192.000000
839,244.000000
840,204.000000
841,212.000000
842,196.000000
843,204.000000
844,208.000000
845,176.000000
846,188.000000
847,236.000000
848,240.000000
849,192.000000
850,168.000000
851,184.000000
852,204.000000
853,196.000000
854,220.000000
855,204.000000
856,176.000000
857,220.000000
858,192.000000
859,220.000000
860,132.000000
861,188.000000
862,212.000000
863,196.000000
864,176.000000
865,228.000000
866,212.000000
867,264.000000
868,212.000000
869,216.000000
870,236.000000
871,236.000000
872,204.000000
873,224.000000
874,204.000000
875,204.000000
876,180.000000
877,184.000000
878,192.000000
879,196.000000
880,196.000000
881,224.000000
882,196.000000
883,196.000000
884,196.000000
885,152.000000
886,236.000000
887,100.000000
888,196.000000
889,176.000000
890,192.000000
891,192.000000
892,216.000000
893,204.000000
894,148.000000
895,184.000000
896,192.000000
897,208.000000
898,188.000000
899,192.000000
900,220.000000
901,168.000000
902,160.000000
903,264.000000
904,196.000000
905,216.000000
906,216.000000
907,192.000000
908,208.000000
909,188.000000
910,204.000000
911,164.000000
912,180.000000
913,216.000000
914,200.000000
